Takim,Sezon,Kadro_Sayisi,Ortalama_Yas,Yabanci_Oyuncu_Sayisi,Kaleci_Sayisi,Kaleci_Toplam_Deger_Euro,Kaleci_Ortalama_Deger_Euro,Defans_Sayisi,Defans_Toplam_Deger_Euro,Defans_Ortalama_Deger_Euro,Ortasaha_Sayisi,Ortasaha_Toplam_Deger_Euro,Ortasaha_Ortalama_Deger_Euro,Forvet_Sayisi,Forvet_Toplam_Deger_Euro,Forvet_Ortalama_Deger_Euro,Ortalama_Piyasa_Degeri_Euro,Toplam_Piyasa_Degeri_Euro
Ç. Rizespor,2020-2021,42,27.7,21,5,3775000,755000,20,14850000,742500,5,3200000,640000,12,8875000,739583.3333333334,731000,30700000
Antalyaspor,2020-2021,37,26.2,12,4,700000,175000,14,14225000,1016071.4285714284,5,2000000,400000,14,13300000,950000,817000,30230000
Konyaspor,2020-2021,43,26.4,20,5,1275000,255000,19,15125000,796052.6315789474,6,5250000,875000,13,8225000,632692.3076923077,695000,29880000
Y. Malatyaspor,2020-2021,40,26.4,19,5,2900000,580000,17,11375000,669117.6470588235,6,6650000,1108333.3333333333,12,7550000,629166.6666666666,712000,28480000
Gaziantep FK,2020-2021,35,28,16,3,2275000,758333.3333333334,18,12275000,681944.4444444445,6,6025000,1004166.6666666666,8,6900000,862500,785000,27480000
Kayserispor,2020-2021,47,26,23,4,3000000,750000,20,7725000,386250,9,4950000,550000,14,7350000,525000,490000,23030000
Ankaragücü,2020-2021,42,25.4,18,5,1125000,225000,17,8650000,508823.5294117647,7,2325000,332142.85714285716,13,8600000,661538.4615384615,493000,20700000
Gençlerbirliği,2020-2021,43,25.5,14,6,1650000,275000,18,9075000,504166.6666666667,6,1725000,287500,13,3775000,290384.6153846154,377000,16230000
BB Erzurumspor,2020-2021,47,28.4,24,5,1025000,205000,20,6275000,313750,9,2050000,227777.77777777775,13,6175000,475000,330000,15530000
Denizlispor,2020-2021,45,25.9,18,6,675000,112500,21,5475000,260714.2857142857,5,3250000,650000,13,4775000,367307.6923076923,315000,14180000
Fenerbahçe,2021-2022,44,24.6,17,5,19725000,3945000,17,57100000,3358823.529411765,15,51750000,3450000,7,23550000,3364285.714285714,3460000,152130000
Galatasaray,2021-2022,46,26.9,21,6,6125000,1020833.3333333334,18,57675000,3204166.6666666665,7,18725000,2675000,15,48100000,3206666.6666666665,2840000,130630000
Trabzonspor,2021-2022,41,26.2,16,4,18475000,4618750,14,44525000,3180357.1428571427,10,26300000,2630000,13,34575000,2659615.3846153845,3020000,123880000
Beşiktaş,2021-2022,41,26.4,17,5,11225000,2245000,18,27950000,1552777.7777777778,9,26150000,2905555.5555555555,9,36200000,4022222.222222222,2480000,101530000
Başakşehir,2021-2022,42,27.1,14,4,1150000,287500,16,14650000,915625,9,16700000,1855555.5555555555,13,30375000,2336538.4615384615,1500000,62880000
Alanyaspor,2021-2022,41,25.4,16,4,400000,100000,16,21400000,1337500,11,14925000,1356818.181818182,10,15550000,1555000,1280000,52280000
Konyaspor,2021-2022,33,27.5,15,4,1600000,400000,13,16750000,1288461.5384615385,5,13100000,2620000,11,15450000,1404545.4545454546,1420000,46900000
Adana Demirspor,2021-2022,41,27,18,5,2750000,550000,16,16175000,1010937.5,7,3350000,478571.4285714286,13,23725000,1825000,1120000,46000000
